Survey,CSA,CBSA,HHEADER,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202601,101,10180,2,Abilene  TX ,72,72,21137,21,42,6786,0,0,0,0,0,0,70,70,20721,21,42,6786,0,0,0,0,0,0
202601,101,45020,5,Sweetwater  TX ,1,1,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202601,104,10580,2,Albany-Schenectady-Troy  NY ,93,93,35741,2,4,1010,1,3,500,9,138,20350,70,70,27169,0,0,0,0,0,0,6,121,17743
202601,104,11220,5,Amsterdam  NY ,4,4,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202601,104,24020,2,Glens Falls  NY ,15,15,4427,2,4,726,1,3,499,1,6,887,13,13,4079,2,4,726,1,3,499,0,0,0
202601,104,24100,5,Gloversville  NY ,5,5,2659,0,0,0,0,0,0,0,0,0,3,3,1957,0,0,0,0,0,0,0,0,0
202601,104,26460,5,Hudson  NY ,7,7,4403,0,0,0,0,0,0,0,0,0,2,2,1457,0,0,0,0,0,0,0,0,0
202601,105,10740,2,Albuquerque  NM ,134,134,37257,0,0,0,0,0,0,0,0,0,117,117,32172,0,0,0,0,0,0,0,0,0
202601,105,29780,5,Las Vegas  NM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202601,105,31060,5,Los Alamos  NM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202601,105,42140,2,Santa Fe  NM ,14,14,5242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202601,106,10900,2,Allentown-Bethlehem-Easton  PA-NJ ,66,66,16776,5,10,1501,0,0,0,2,10,618,39,39,10139,5,10,1501,0,0,0,0,0,0
202601,106,20700,5,East Stroudsburg  PA ,15,15,4210,0,0,0,0,0,0,0,0,0,9,9,2325,0,0,0,0,0,0,0,0,0
202601,107,11020,2,Altoona  PA ,5,5,1465,1,2,300,0,0,0,0,0,0,1,1,187,0,0,0,0,0,0,0,0,0
202601,107,26500,5,Huntingdon  PA ,3,3,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202601,108,11100,2,Amarillo  TX ,62,62,18478,0,0,0,0,0,0,0,0,0,58,58,17169,0,0,0,0,0,0,0,0,0
202601,108,14420,5,Borger  TX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202601,118,11540,2,Appleton  WI ,27,27,8999,1,2,354,0,0,0,0,0,0,26,26,8662,0,0,0,0,0,0,0,0,0
202601,118,36780,2,Oshkosh-Neenah  WI ,16,16,8322,0,0,0,0,0,0,0,0,0,13,13,7258,0,0,0,0,0,0,0,0,0
202601,120,11700,2,Asheville  NC ,106,106,47664,1,2,363,0,0,0,1,42,7363,79,79,38631,0,0,0,0,0,0,0,0,0
202601,120,14820,5,Brevard  NC ,12,12,8098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202601,120,48200,5,Waynesville  NC ,43,43,16762,0,0,0,0,0,0,0,0,0,43,43,16762,0,0,0,0,0,0,0,0,0
202601,122,12020,2,Athens-Clarke County  GA ,68,68,19858,0,0,0,0,0,0,0,0,0,51,51,14394,0,0,0,0,0,0,0,0,0
202601,122,12060,2,Atlanta-Sandy Springs-Roswell  GA ,1478,1478,396636,5,10,2450,2,7,1382,53,722,93494,1312,1312,349043,5,10,2450,1,4,709,49,618,78436
202601,122,15660,5,Calhoun  GA ,36,36,9747,0,0,0,0,0,0,0,0,0,36,36,9747,0,0,0,0,0,0,0,0,0
202601,122,16340,5,Cedartown  GA ,6,6,1776,0,0,0,0,0,0,0,0,0,6,6,1776,0,0,0,0,0,0,0,0,0
202601,122,18460,5,Cornelia  GA ,15,15,5552,0,0,0,0,0,0,1,12,687,2,2,640,0,0,0,0,0,0,0,0,0
202601,122,23580,2,Gainesville  GA ,101,101,38212,0,0,0,1,3,506,2,15,2302,39,39,19709,0,0,0,0,0,0,0,0,0
202601,122,27600,5,Jefferson  GA ,150,150,57483,0,0,0,0,0,0,0,0,0,137,137,53677,0,0,0,0,0,0,0,0,0
202601,122,29300,5,LaGrange  GA-AL ,30,30,11685,0,0,0,0,0,0,0,0,0,18,18,7916,0,0,0,0,0,0,0,0,0
202601,122,40660,2,Rome  GA ,26,26,6359,0,0,0,0,0,0,0,0,0,26,26,6359,0,0,0,0,0,0,0,0,0
202601,122,45580,5,Thomaston  GA ,7,7,1870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202601,132,12940,2,Baton Rouge  LA ,266,266,71938,3,6,386,0,0,0,8,50,1509,48,48,11314,0,0,0,0,0,0,0,0,0
202601,132,25220,2,Hammond  LA ,56,56,11341,0,0,0,0,0,0,1,38,3600,0,0,0,0,0,0,0,0,0,0,0,0
202601,142,13820,2,Birmingham  AL ,234,234,74608,1,2,1032,2,7,704,2,48,9045,195,195,66485,0,0,0,2,7,704,0,0,0
202601,142,18980,5,Cullman  AL ,22,22,4570,0,0,0,0,0,0,0,0,0,21,21,4411,0,0,0,0,0,0,0,0,0
202601,142,45180,5,Talladega-Sylacauga  AL ,9,9,2179,0,0,0,1,4,630,0,0,0,9,9,2179,0,0,0,1,4,630,0,0,0
202601,144,13260,5,Bedford  IN ,3,3,753,0,0,0,0,0,0,0,0,0,2,2,400,0,0,0,0,0,0,0,0,0
