Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9611,0040,9999, ,Abilene TX MSA,17,17,1915,0,0,0,0,0,0,1,15,390,0,0,0,0,0,0,0,0,0,0,0,0
9611,0120,9999, ,Albany GA MSA,31,31,2847,0,0,0,0,0,0,0,0,0,31,31,2847,0,0,0,0,0,0,0,0,0
9611,0160,9999, ,Albany-Schenectady-Troy NY MSA,129,129,15966,1,2,73,0,0,0,1,17,897,114,114,14574,0,0,0,0,0,0,0,0,0
9611,0200,9999, ,Albuquerque NM MSA,314,314,26190,1,2,109,0,0,0,1,5,82,178,178,15655,0,0,0,0,0,0,0,0,0
9611,0220,9999, ,Alexandria LA MSA,19,19,1719,0,0,0,0,0,0,0,0,0,5,5,555,0,0,0,0,0,0,0,0,0
9611,0240,9999, ,Allentown-Bethlehem-Easton PA MSA,104,104,11235,0,0,0,3,12,462,4,79,3248,99,99,10752,0,0,0,3,12,462,3,74,3080
9611,0280,9999, ,Altoona PA MSA,5,5,414,0,0,0,0,0,0,0,0,0,5,5,414,0,0,0,0,0,0,0,0,0
9611,0320,9999, ,Amarillo TX MSA,33,33,3233,0,0,0,0,0,0,0,0,0,33,33,3233,0,0,0,0,0,0,0,0,0
9611,0380,9999, ,Anchorage AK MSA,37,37,5219,2,4,684,0,0,0,0,0,0,37,37,5219,2,4,684,0,0,0,0,0,0
9611,0450,9999, ,Anniston AL MSA,13,13,1092,0,0,0,0,0,0,2,11,438,1,1,128,0,0,0,0,0,0,1,5,150
9611,0460,9999, ,Appleton-Oshkosh-Neenah WI MSA,77,77,8581,5,10,728,3,10,720,2,46,2100,60,60,6465,5,10,728,3,10,720,2,46,2100
9611,0480,9999, ,Asheville NC MSA,77,77,8419,4,8,352,0,0,0,14,144,5000,69,69,7604,2,4,170,0,0,0,14,144,5000
9611,0500,9999, ,Athens GA MSA,35,35,4097,6,12,412,0,0,0,0,0,0,25,25,3135,6,12,412,0,0,0,0,0,0
9611,0520,9999, ,Atlanta GA MSA,2643,2643,257632,5,10,487,3,11,374,4,76,3341,2352,2352,237668,5,10,487,3,11,374,4,76,3341
9611,0600,9999, ,Augusta-Aiken GA-SC MSA,150,150,14018,0,0,0,3,10,418,0,0,0,150,150,14018,0,0,0,3,10,418,0,0,0
9611,0640,9999, ,Austin-San Marcos TX MSA,384,384,41796,30,60,2338,0,0,0,17,509,19664,384,384,41796,30,60,2338,0,0,0,17,509,19664
9611,0680,9999, ,Bakersfield CA MSA,159,159,15641,0,0,0,5,18,973,7,42,3856,107,107,10054,0,0,0,4,14,817,6,30,2709
9611,0730,9999, ,Bangor ME MSA,15,15,1281,0,0,0,0,0,0,0,0,0,9,9,793,0,0,0,0,0,0,0,0,0
9611,0740,9999, ,Barnstable-Yarmouth MA MSA,85,85,11271,2,4,535,5,16,1227,0,0,0,85,85,11271,2,4,535,5,16,1227,0,0,0
9611,0760,9999, ,Baton Rouge LA MSA,91,91,6908,0,0,0,0,0,0,10,336,4972,91,91,6908,0,0,0,0,0,0,10,336,4972
9611,0840,9999, ,Beaumont-Port Arthur TX MSA,39,39,3822,0,0,0,0,0,0,0,0,0,39,39,3822,0,0,0,0,0,0,0,0,0
9611,0860,9999, ,Bellingham WA MSA,54,54,6478,4,8,714,8,28,2166,1,5,202,22,22,2960,4,8,714,8,28,2166,0,0,0
9611,0870,9999, ,Benton Harbor MI MSA,7,7,552,0,0,0,1,3,199,0,0,0,3,3,227,0,0,0,0,0,0,0,0,0
9611,0880,9999, ,Billings MT MSA,11,11,1218,2,4,229,1,4,270,3,63,2695,11,11,1218,2,4,229,1,4,270,3,63,2695
9611,0920,9999, ,Biloxi-Gulfport-Pascagoula MS MSA,126,126,8152,0,0,0,1,4,225,8,144,5450,121,121,7727,0,0,0,1,4,225,8,144,5450
9611,0960,9999, ,Binghamton NY MSA,3,3,407,0,0,0,0,0,0,0,0,0,3,3,407,0,0,0,0,0,0,0,0,0
9611,1000,9999, ,Birmingham AL MSA,334,334,40833,0,0,0,1,4,259,7,112,4668,229,229,31435,0,0,0,1,4,259,5,102,4429
9611,1010,9999, ,Bismarck ND MSA,11,11,1321,0,0,0,0,0,0,1,7,172,11,11,1321,0,0,0,0,0,0,1,7,172
9611,1020,9999, ,Bloomington IN MSA,28,28,2826,2,4,105,0,0,0,7,56,840,10,10,743,2,4,105,0,0,0,7,56,840
9611,1040,9999, ,Bloomington-Normal IL MSA,50,50,3853,2,4,172,0,0,0,0,0,0,50,50,3853,2,4,172,0,0,0,0,0,0
9611,1080,9999, ,Boise City ID MSA,281,281,34570,2,4,322,1,3,130,2,12,353,266,266,32965,2,4,322,1,3,130,2,12,353
