Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202001,104,10580,C,Albany-Schenectady-Troy  NY ,59,59,16195,1,2,315,2,6,1110,3,40,4321,36,36,8614,1,2,315,2,6,1110,0,0,0
202001,104,24020, ,Glens Falls  NY ,12,12,2893,0,0,0,0,0,0,0,0,0,5,5,1250,0,0,0,0,0,0,0,0,0
202001,106,10740,C,Albuquerque  NM ,190,190,50577,0,0,0,1,3,348,1,6,250,134,134,38175,0,0,0,0,0,0,0,0,0
202001,106,42140,C,Santa Fe  NM ,34,34,8988,0,0,0,0,0,0,0,0,0,34,34,8988,0,0,0,0,0,0,0,0,0
202001,107,11020, ,Altoona  PA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,108,11100, ,Amarillo  TX ,29,29,6886,0,0,0,0,0,0,0,0,0,29,29,6886,0,0,0,0,0,0,0,0,0
202001,118,11540, ,Appleton  WI ,25,25,6896,0,0,0,0,0,0,0,0,0,25,25,6896,0,0,0,0,0,0,0,0,0
202001,118,36780, ,Oshkosh-Neenah  WI ,10,10,3277,0,0,0,0,0,0,0,0,0,8,8,2758,0,0,0,0,0,0,0,0,0
202001,120,11700, ,Asheville  NC ,176,176,51699,0,0,0,0,0,0,2,22,2622,47,47,13472,0,0,0,0,0,0,0,0,0
202001,122,12020, ,Athens-Clarke County  GA ,36,36,10476,1,2,409,0,0,0,0,0,0,36,36,10476,1,2,409,0,0,0,0,0,0
202001,122,12060, ,Atlanta-Sandy Springs-Alpharetta  GA ,1959,1959,450901,5,10,2043,4,15,2436,20,928,111873,1751,1751,406882,5,10,2043,4,15,2436,15,823,99308
202001,122,23580, ,Gainesville  GA ,52,52,13334,1,2,60,0,0,0,0,0,0,52,52,13334,1,2,60,0,0,0,0,0,0
202001,122,40660,C,Rome  GA ,8,8,1988,0,0,0,0,0,0,0,0,0,8,8,1988,0,0,0,0,0,0,0,0,0
202001,140,13460,C,Bend  OR ,119,119,30112,3,6,833,0,0,0,0,0,0,119,119,30112,3,6,833,0,0,0,0,0,0
202001,142,13820,C,Birmingham-Hoover  AL ,267,267,70064,1,2,247,0,0,0,1,14,1412,169,169,47358,0,0,0,0,0,0,0,0,0
202001,144,14020,C,Bloomington  IN ,27,27,7310,0,0,0,0,0,0,0,0,0,27,27,7310,0,0,0,0,0,0,0,0,0
202001,145,14010, ,Bloomington  IL ,4,4,653,0,0,0,0,0,0,0,0,0,4,4,653,0,0,0,0,0,0,0,0,0
202001,146,14100,C,Bloomsburg-Berwick  PA ,4,4,868,0,0,0,0,0,0,0,0,0,1,1,212,0,0,0,0,0,0,0,0,0
202001,147,14260,C,Boise City  ID ,571,571,132875,2,4,689,0,0,0,3,70,2898,533,533,121982,2,4,689,0,0,0,3,70,2898
202001,148,12700, ,Barnstable Town  MA ,8,8,6085,1,2,190,0,0,0,1,10,1500,8,8,6085,1,2,190,0,0,0,1,10,1500
202001,148,14460,C,Boston-Cambridge-Newton  MA-NH ,448,448,123137,12,24,5615,12,43,9165,31,1113,156924,291,291,84183,8,16,4174,11,40,8540,16,816,114419
202001,148,31700, ,Manchester-Nashua  NH ,22,22,4687,1,2,263,0,0,0,1,6,757,9,9,2600,0,0,0,0,0,0,0,0,0
202001,148,39300,C,Providence-Warwick  RI-MA ,115,115,26616,6,12,1182,0,0,0,1,5,78,69,69,16766,3,6,510,0,0,0,0,0,0
202001,148,49340, ,Worcester  MA-CT ,7,7,1431,0,0,0,0,0,0,1,6,108,4,4,831,0,0,0,0,0,0,0,0,0
202001,150,14540, ,Bowling Green  KY ,59,59,14010,0,0,0,1,4,375,0,0,0,59,59,14010,0,0,0,1,4,375,0,0,0
202001,154,15180, ,Brownsville-Harlingen  TX ,95,95,9244,1,2,123,0,0,0,0,0,0,68,68,6647,0,0,0,0,0,0,0,0,0
202001,160,15380,C,Buffalo-Cheektowaga  NY ,57,57,17886,1,2,160,1,4,952,2,68,7188,54,54,17406,1,2,160,1,4,952,1,39,681
202001,162,15540, ,Burlington-South Burlington  VT ,20,20,4725,2,4,600,0,0,0,1,16,1559,15,15,3709,2,4,600,0,0,0,0,0,0
202001,163,15980,C,Cape Coral-Fort Myers  FL ,582,582,121801,20,40,4813,4,16,5141,31,1018,128317,582,582,121801,20,40,4813,4,16,5141,31,1018,128317
202001,163,34940, ,Naples-Marco Island  FL ,231,231,61108,0,0,0,5,20,4590,6,44,9043,231,231,61108,0,0,0,5,20,4590,6,44,9043
202001,164,16020, ,Cape Girardeau  MO-IL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,168,16300, ,Cedar Rapids  IA ,8,8,862,1,2,193,0,0,0,0,0,0,8,8,862,1,2,193,0,0,0,0,0,0
202001,168,26980, ,Iowa City  IA ,6,6,1766,1,2,315,0,0,0,1,24,4000,5,5,1629,1,2,315,0,0,0,1,24,4000
202001,170,16620, ,Charleston  WV ,20,20,1667,0,0,0,0,0,0,0,0,0,18,18,1617,0,0,0,0,0,0,0,0,0
202001,170,26580, ,Huntington-Ashland  WV-KY-OH ,14,14,2525,1,2,278,0,0,0,0,0,0,1,1,18,0,0,0,0,0,0,0,0,0
202001,172,16740, ,Charlotte-Concord-Gastonia  NC-SC ,1539,1539,391269,1,2,224,0,0,0,11,435,49240,1356,1356,330766,1,2,224,0,0,0,9,410,46527
202001,174,16860, ,Chattanooga  TN-GA ,143,143,33863,2,4,306,2,7,993,1,14,1585,103,103,24330,0,0,0,2,7,993,0,0,0
