Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9510,0040,9999, ,Abilene TX MSA,20,20,2246,1,2,100,0,0,0,1,23,598,0,0,0,0,0,0,0,0,0,0,0,0
9510,0120,9999, ,Albany GA MSA,56,56,3830,3,6,226,5,20,803,0,0,0,56,56,3830,3,6,226,5,20,803,0,0,0
9510,0160,9999, ,Albany-Schenectady-Troy NY MSA,132,132,14080,4,8,310,0,0,0,6,125,8164,118,118,12854,3,6,240,0,0,0,5,118,7841
9510,0200,9999, ,Albuquerque NM MSA,392,392,32803,0,0,0,1,4,32,17,125,4915,314,314,28379,0,0,0,1,4,32,16,120,4757
9510,0220,9999, ,Alexandria LA MSA,20,20,1889,1,2,177,0,0,0,0,0,0,20,20,1889,1,2,177,0,0,0,0,0,0
9510,0240,9999, ,Allentown-Bethlehem-Easton PA MSA,105,105,11327,0,0,0,0,0,0,1,11,360,103,103,11120,0,0,0,0,0,0,1,11,360
9510,0280,9999, ,Altoona PA MSA,10,10,533,0,0,0,0,0,0,0,0,0,10,10,533,0,0,0,0,0,0,0,0,0
9510,0320,9999, ,Amarillo TX MSA,32,32,3311,0,0,0,0,0,0,0,0,0,32,32,3311,0,0,0,0,0,0,0,0,0
9510,0380,9999, ,Anchorage AK MSA,65,65,7671,2,4,296,1,4,253,0,0,0,65,65,7671,2,4,296,1,4,253,0,0,0
9510,0450,9999, ,Anniston AL MSA,12,12,833,0,0,0,0,0,0,1,5,185,0,0,0,0,0,0,0,0,0,0,0,0
9510,0460,9999, ,Appleton-Oshkosh-Neenah WI MSA,123,123,14351,11,22,1305,2,8,486,4,46,1156,87,87,10056,9,18,1067,2,8,486,3,40,1000
9510,0480,9999, ,Asheville NC MSA,72,72,7754,2,4,288,1,4,320,1,6,190,72,72,7754,2,4,288,1,4,320,1,6,190
9510,0500,9999, ,Athens GA MSA,76,76,6559,0,0,0,0,0,0,0,0,0,67,67,5723,0,0,0,0,0,0,0,0,0
9510,0520,9999, ,Atlanta GA MSA,2896,2896,277472,5,10,319,0,0,0,28,622,29406,2864,2864,275615,5,10,319,0,0,0,28,622,29406
9510,0600,9999, ,Augusta-Aiken GA-SC MSA,144,144,13300,0,0,0,0,0,0,7,42,700,144,144,13300,0,0,0,0,0,0,7,42,700
9510,0640,9999, ,Austin-San Marcos TX MSA,453,453,47099,11,22,1449,0,0,0,27,551,22630,439,439,45803,11,22,1449,0,0,0,27,551,22630
9510,0680,9999, ,Bakersfield CA MSA,188,188,19606,1,2,65,2,7,467,17,134,7457,182,182,19072,1,2,65,2,7,467,17,134,7457
9510,0730,9999, ,Bangor ME MSA,19,19,1852,0,0,0,0,0,0,1,5,212,16,16,1551,0,0,0,0,0,0,0,0,0
9510,0740,9999, ,Barnstable-Yarmouth MA MSA,78,78,10590,0,0,0,0,0,0,0,0,0,51,51,6801,0,0,0,0,0,0,0,0,0
9510,0760,9999, ,Baton Rouge LA MSA,109,109,8833,0,0,0,0,0,0,15,369,10000,109,109,8833,0,0,0,0,0,0,15,369,10000
9510,0840,9999, ,Beaumont-Port Arthur TX MSA,31,31,2837,0,0,0,0,0,0,1,10,443,31,31,2837,0,0,0,0,0,0,1,10,443
9510,0860,9999, ,Bellingham WA MSA,78,78,8760,2,4,355,0,0,0,0,0,400,23,23,2840,2,4,355,0,0,0,0,0,400
9510,0870,9999, ,Benton Harbor MI MSA,9,9,670,0,0,0,1,4,265,0,0,0,4,4,325,0,0,0,0,0,0,0,0,0
9510,0880,9999, ,Billings MT MSA,32,32,3699,0,0,0,0,0,0,0,0,0,32,32,3699,0,0,0,0,0,0,0,0,0
9510,0920,9999, ,Biloxi-Gulfport-Pascagoula MS MSA,115,115,7823,2,4,150,0,0,0,15,204,8378,109,109,7313,2,4,150,0,0,0,15,204,8378
9510,0960,9999, ,Binghamton NY MSA,2,2,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9510,1000,9999, ,Birmingham AL MSA,370,370,43389,0,0,0,0,0,0,2,13,333,294,294,36273,0,0,0,0,0,0,1,8,220
9510,1010,9999, ,Bismarck ND MSA,42,42,4025,0,0,0,1,4,368,0,0,0,42,42,4025,0,0,0,1,4,368,0,0,0
9510,1020,9999, ,Bloomington IN MSA,63,63,6062,1,2,110,1,4,189,6,52,2084,63,63,6062,1,2,110,1,4,189,6,52,2084
9510,1040,9999, ,Bloomington-Normal IL MSA,58,58,5080,4,8,425,0,0,0,3,48,1300,57,57,5001,4,8,425,0,0,0,3,48,1300
9510,1080,9999, ,Boise City ID MSA,343,343,37283,3,6,445,20,71,4141,1,6,211,324,324,35586,3,6,445,20,71,4141,0,0,0
