Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9409,0040,9999, ,Abilene TX MSA,20,20,2277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9409,0120,9999, ,Albany GA MSA,49,49,2909,9,18,548,1,4,97,0,0,0,49,49,2909,9,18,548,1,4,97,0,0,0
9409,0160,9999, ,Albany-Schenectady-Troy NY MSA,190,190,21095,3,6,402,0,0,0,9,66,2135,165,165,18970,2,4,326,0,0,0,7,56,1556
9409,0200,9999, ,Albuquerque NM MSA,397,397,34246,0,0,0,0,0,0,1,5,157,309,309,29338,0,0,0,0,0,0,0,0,0
9409,0220,9999, ,Alexandria LA MSA,30,30,2600,1,2,75,0,0,0,0,0,0,30,30,2600,1,2,75,0,0,0,0,0,0
9409,0240,9999, ,Allentown-Bethlehem-Easton PA MSA,169,169,17127,0,0,0,2,7,165,2,18,655,164,164,16667,0,0,0,2,7,165,2,18,655
9409,0280,9999, ,Altoona PA MSA,10,10,658,0,0,0,0,0,0,0,0,0,10,10,658,0,0,0,0,0,0,0,0,0
9409,0320,9999, ,Amarillo TX MSA,47,47,5992,0,0,0,0,0,0,0,0,0,47,47,5992,0,0,0,0,0,0,0,0,0
9409,0380,9999, ,Anchorage AK MSA,65,65,10358,1,2,186,0,0,0,0,0,0,65,65,10358,1,2,186,0,0,0,0,0,0
9409,0450,9999, ,Anniston AL MSA,16,16,1521,0,0,0,0,0,0,0,0,0,12,12,1298,0,0,0,0,0,0,0,0,0
9409,0460,9999, ,Appleton-Oshkosh-Neenah WI MSA,142,142,14285,17,34,2057,1,4,430,9,115,3411,88,88,9214,11,22,1369,1,4,430,7,100,3087
9409,0480,9999, ,Asheville NC MSA,76,76,7300,0,0,0,1,4,130,1,5,100,76,76,7300,0,0,0,1,4,130,1,5,100
9409,0500,9999, ,Athens GA MSA,50,50,5206,6,12,430,1,4,178,0,0,0,41,41,4407,6,12,430,1,4,178,0,0,0
9409,0520,9999, ,Atlanta GA MSA,2853,2853,269155,4,8,349,8,31,1201,54,934,37285,2826,2826,267752,4,8,349,8,31,1201,54,934,37285
9409,0600,9999, ,Augusta-Aiken GA-SC MSA,168,168,16979,0,0,0,0,0,0,1,15,142,168,168,16979,0,0,0,0,0,0,1,15,142
9409,0640,9999, ,Austin-San Marcos TX MSA,462,462,42891,0,0,0,0,0,0,16,324,10500,454,454,42222,0,0,0,0,0,0,16,324,10500
9409,0680,9999, ,Bakersfield CA MSA,249,249,22816,2,4,143,9,34,1407,0,0,0,249,249,22816,2,4,143,9,34,1407,0,0,0
9409,0730,9999, ,Bangor ME MSA,8,8,760,0,0,0,0,0,0,0,0,0,7,7,689,0,0,0,0,0,0,0,0,0
9409,0740,9999, ,Barnstable-Yarmouth MA MSA,105,105,15473,0,0,0,0,0,0,0,0,0,105,105,15473,0,0,0,0,0,0,0,0,0
9409,0760,9999, ,Baton Rouge LA MSA,109,109,8609,2,4,195,0,0,0,8,199,8977,107,107,8457,2,4,195,0,0,0,8,199,8977
9409,0840,9999, ,Beaumont-Port Arthur TX MSA,51,51,4292,0,0,0,0,0,0,0,0,0,51,51,4292,0,0,0,0,0,0,0,0,0
9409,0860,9999, ,Bellingham WA MSA,96,96,12253,2,4,374,3,11,537,20,228,12722,89,89,11639,1,2,204,3,11,537,20,228,12722
9409,0870,9999, ,Benton Harbor MI MSA,14,14,1466,1,2,95,0,0,0,0,0,0,6,6,652,1,2,95,0,0,0,0,0,0
9409,0880,9999, ,Billings MT MSA,38,38,4193,0,0,0,1,4,184,0,0,0,38,38,4193,0,0,0,1,4,184,0,0,0
9409,0920,9999, ,Biloxi-Gulfport-Pascagoula MS MSA,183,183,12446,1,2,82,2,8,391,11,245,5037,171,171,11678,1,2,82,2,8,391,11,245,5037
9409,0960,9999, ,Binghamton NY MSA,5,5,392,0,0,0,0,0,0,0,0,0,3,3,258,0,0,0,0,0,0,0,0,0
9409,1000,9999, ,Birmingham AL MSA,346,346,39812,1,2,72,0,0,0,1,5,113,266,266,32871,1,2,72,0,0,0,0,0,0
9409,1010,9999, ,Bismarck ND MSA,66,66,6238,3,6,576,1,4,185,1,36,1400,66,66,6238,3,6,576,1,4,185,1,36,1400
9409,1020,9999, ,Bloomington IN MSA,84,84,7117,4,8,336,0,0,0,2,20,825,84,84,7117,4,8,336,0,0,0,2,20,825
9409,1040,9999, ,Bloomington-Normal IL MSA,55,55,4303,2,4,100,0,0,0,0,0,0,55,55,4303,2,4,100,0,0,0,0,0,0
9409,1080,9999, ,Boise City ID MSA,304,304,34342,1,2,97,37,147,6866,47,586,19320,304,304,34342,1,2,97,37,147,6866,47,586,19320
