candidate_start,transformation,cbsa_code,date,unemployment_rate_sa,hours_x,permits_x,model_lag_applied
2007-01,one_month_growth,10180,2007-03-01,3.6,-864.4364105423396,-8.626397896589367,1
2007-01,one_month_growth,10180,2007-04-01,3.5,864.4369075565269,8.62640285664849,1
2007-01,one_month_growth,10180,2007-05-01,3.5,-862.6657833321563,-8.80466620402714,1
2007-01,one_month_growth,10180,2007-06-01,3.5,862.666280343873,8.804671164061663,1
2007-01,one_month_growth,10180,2007-07-01,3.5,-862.8443595830618,-9.246822884850172,1
2007-01,one_month_growth,10180,2007-08-01,3.6,862.8448565923087,9.247264229420983,1
2007-01,one_month_growth,10180,2007-09-01,3.6,-858.8423751092147,-8.588984906215629,1
2007-01,one_month_growth,10180,2007-10-01,3.7,858.8428721159914,8.588989864036964,1
2007-01,one_month_growth,10180,2007-11-01,3.7,-864.7087273857358,-9.031242261320621,1
2007-01,one_month_growth,10180,2007-12-01,3.6,864.7092243900422,9.031247219117375,1
2007-01,one_month_growth,10180,2008-01-01,3.6,-863.5684366523069,-8.989921210723299,1
2007-01,one_month_growth,10180,2008-02-01,3.5,863.5689336541434,8.989926168495474,1
2007-01,one_month_growth,10180,2008-03-01,3.5,-861.1977901628277,-9.296503988594607,1
2007-01,one_month_growth,10180,2008-04-01,3.5,861.198287162194,9.296508946342202,1
2007-01,one_month_growth,10180,2008-05-01,3.5,-860.5854721285668,-9.358520712339978,1
2007-01,one_month_growth,10180,2008-06-01,3.7,860.5859691254631,9.358525670062996,1
2007-01,one_month_growth,10180,2008-07-01,3.8,-863.5252848008918,-9.307399926383752,1
2007-01,one_month_growth,10180,2008-08-01,3.9,863.5257817953182,9.307404884082189,1
2007-01,one_month_growth,10180,2008-09-01,4.0,-863.033325317473,-8.90127684061894,1
2007-01,one_month_growth,10180,2008-10-01,4.2,863.0338223094292,8.901281798292803,1
2007-01,one_month_growth,10180,2008-11-01,4.3,-859.3317127095181,-9.417938108352152,1
2007-01,one_month_growth,10180,2008-12-01,4.5,859.3322096990044,9.417943066001431,1
2007-01,one_month_growth,10180,2009-01-01,4.7,-862.2683733274165,-8.678412887842931,1
2007-01,one_month_growth,10180,2009-02-01,4.8,862.3125955023278,8.678417845467635,1
2007-01,one_month_growth,10180,2009-03-01,4.9,-870.5301294260908,-8.992804755629164,1
2007-01,one_month_growth,10180,2009-04-01,5.0,870.5306261933777,8.992809713229288,1
2007-01,one_month_growth,10180,2009-05-01,5.7,-864.5727344884735,-8.778351491474567,1
2007-01,one_month_growth,10180,2009-06-01,6.4,864.5732312532926,8.778356449050115,1
2007-01,one_month_growth,10180,2009-07-01,6.4,-864.972467445655,-8.53796574696133,1
2007-01,one_month_growth,10180,2009-08-01,6.4,864.9729642080065,8.538406872781028,1
