Survey,CSA,CBSA,HHEADER,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202605,101,10180,2,Abilene  TX ,78,78,23732,1,2,302,0,0,0,9,241,41500,75,75,22852,1,2,302,0,0,0,9,241,41500
202605,101,45020,5,Sweetwater  TX ,1,1,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202605,104,10580,2,Albany-Schenectady-Troy  NY ,74,74,28165,4,8,2487,4,15,2581,5,26,9989,35,35,13559,3,6,1777,3,12,2065,3,15,7867
202605,104,11220,5,Amsterdam  NY ,2,2,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202605,104,24020,2,Glens Falls  NY ,20,20,7501,0,0,0,0,0,0,1,5,313,20,20,7501,0,0,0,0,0,0,0,0,0
202605,104,24100,5,Gloversville  NY ,6,6,1980,0,0,0,0,0,0,0,0,0,2,2,587,0,0,0,0,0,0,0,0,0
202605,104,26460,5,Hudson  NY ,4,4,1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202605,105,10740,2,Albuquerque  NM ,153,153,38689,0,0,0,0,0,0,1,42,4899,93,93,23620,0,0,0,0,0,0,0,0,0
202605,105,29780,5,Las Vegas  NM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202605,105,31060,5,Los Alamos  NM ,2,2,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202605,105,42140,2,Santa Fe  NM ,41,41,13191,0,0,0,0,0,0,0,0,0,41,41,13191,0,0,0,0,0,0,0,0,0
202605,106,10900,2,Allentown-Bethlehem-Easton  PA-NJ ,101,101,27598,1,2,469,0,0,0,3,22,2863,64,64,16808,1,2,469,0,0,0,1,12,2131
202605,106,20700,5,East Stroudsburg  PA ,16,16,6110,1,2,290,1,3,564,0,0,0,10,10,3764,0,0,0,0,0,0,0,0,0
202605,107,11020,2,Altoona  PA ,7,7,2764,1,2,550,0,0,0,0,0,0,3,3,1617,0,0,0,0,0,0,0,0,0
202605,107,26500,5,Huntingdon  PA ,4,4,1537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202605,108,11100,2,Amarillo  TX ,71,71,22111,0,0,0,0,0,0,0,0,0,70,70,21800,0,0,0,0,0,0,0,0,0
202605,108,14420,5,Borger  TX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202605,118,11540,2,Appleton  WI ,68,68,28246,1,2,335,0,0,0,9,110,10500,59,59,24518,1,2,335,0,0,0,9,110,10500
202605,118,36780,2,Oshkosh-Neenah  WI ,27,27,9467,1,2,578,0,0,0,6,68,9995,23,23,7998,1,2,578,0,0,0,6,68,9995
202605,120,11700,2,Asheville  NC ,155,155,70817,1,2,290,0,0,0,4,109,16443,122,122,60696,0,0,0,0,0,0,2,56,7280
202605,120,14820,5,Brevard  NC ,15,15,11174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202605,120,48200,5,Waynesville  NC ,24,24,8817,0,0,0,0,0,0,0,0,0,24,24,8817,0,0,0,0,0,0,0,0,0
202605,122,12020,2,Athens-Clarke County  GA ,74,74,29662,0,0,0,0,0,0,2,62,8702,46,46,21439,0,0,0,0,0,0,0,0,0
202605,122,12060,2,Atlanta-Sandy Springs-Roswell  GA ,1823,1823,572104,9,18,3325,8,31,4941,42,942,84673,1634,1634,516592,9,18,3325,8,31,4941,36,852,71289
202605,122,15660,5,Calhoun  GA ,53,53,14752,0,0,0,0,0,0,0,0,0,53,53,14752,0,0,0,0,0,0,0,0,0
202605,122,16340,5,Cedartown  GA ,11,11,3229,0,0,0,0,0,0,1,11,2005,0,0,0,0,0,0,0,0,0,0,0,0
202605,122,18460,5,Cornelia  GA ,26,26,8282,0,0,0,0,0,0,0,0,0,1,1,500,0,0,0,0,0,0,0,0,0
202605,122,23580,2,Gainesville  GA ,165,165,56512,0,0,0,0,0,0,1,6,855,64,64,18244,0,0,0,0,0,0,1,6,855
202605,122,27600,5,Jefferson  GA ,140,140,42396,0,0,0,0,0,0,0,0,0,73,73,22837,0,0,0,0,0,0,0,0,0
202605,122,29300,5,LaGrange  GA-AL ,39,39,11646,0,0,0,0,0,0,1,35,6952,4,4,635,0,0,0,0,0,0,0,0,0
202605,122,40660,2,Rome  GA ,37,37,8931,0,0,0,0,0,0,0,0,0,37,37,8931,0,0,0,0,0,0,0,0,0
202605,122,45580,5,Thomaston  GA ,14,14,3780,0,0,0,0,0,0,0,0,0,8,8,2095,0,0,0,0,0,0,0,0,0
202605,132,12940,2,Baton Rouge  LA ,227,227,58159,0,0,0,0,0,0,1,137,8905,86,86,22166,0,0,0,0,0,0,0,0,0
202605,132,25220,2,Hammond  LA ,65,65,14974,1,2,100,0,0,0,1,53,5025,0,0,0,0,0,0,0,0,0,0,0,0
202605,142,13820,2,Birmingham  AL ,308,308,97148,1,2,1032,0,0,0,1,16,2950,244,244,80569,0,0,0,0,0,0,0,0,0
202605,142,18980,5,Cullman  AL ,23,23,4056,0,0,0,0,0,0,0,0,0,21,21,3750,0,0,0,0,0,0,0,0,0
202605,142,45180,5,Talladega-Sylacauga  AL ,11,11,2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202605,144,13260,5,Bedford  IN ,4,4,500,0,0,0,0,0,0,0,0,0,3,3,350,0,0,0,0,0,0,0,0,0
