Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200103,0040,9999,,Abilene  TX MSA ,17,17,2162,0,0,0,0,0,0,0,0,0,17,17,2162,0,0,0,0,0,0,0,0,0
200103,0120,9999,,Albany  GA MSA ,36,36,4220,0,0,0,0,0,0,0,0,0,9,9,1126,0,0,0,0,0,0,0,0,0
200103,0160,9999,,Albany-Schenectady-Troy  NY MSA ,140,140,22127,1,2,140,0,0,0,4,26,1338,130,130,21036,1,2,140,0,0,0,2,16,800
200103,0200,9999,,Albuquerque  NM MSA ,687,687,64636,0,0,0,2,7,122,0,0,0,647,647,60547,0,0,0,1,4,122,0,0,0
200103,0220,9999,,Alexandria  LA MSA ,27,27,3521,1,2,69,0,0,0,0,0,0,27,27,3521,1,2,69,0,0,0,0,0,0
200103,0240,9999,,Allentown-Bethlehem-Easton  PA MSA ,167,167,19933,0,0,0,0,0,0,2,38,2683,149,149,17280,0,0,0,0,0,0,2,38,2683
200103,0280,9999,,Altoona  PA MSA ,12,12,1681,0,0,0,0,0,0,0,0,0,10,10,1536,0,0,0,0,0,0,0,0,0
200103,0320,9999,,Amarillo  TX MSA ,45,45,5533,0,0,0,0,0,0,0,0,0,45,45,5533,0,0,0,0,0,0,0,0,0
200103,0380,9999,,Anchorage  AK MSA ,93,93,19408,16,32,4095,1,4,487,0,0,0,93,93,19408,16,32,4095,1,4,487,0,0,0
200103,0450,9999,,Anniston  AL MSA ,18,18,1778,0,0,0,0,0,0,1,6,275,6,6,688,0,0,0,0,0,0,0,0,0
200103,0460,9999,,Appleton-Oshkosh-Neenah  WI MSA ,125,125,17826,11,22,1884,1,4,240,4,33,1291,90,90,12671,8,16,1481,1,4,240,1,9,458
200103,0480,9999,,Asheville  NC MSA ,113,113,13338,1,2,100,0,0,0,0,0,0,113,113,13338,1,2,100,0,0,0,0,0,0
200103,0500,9999,,Athens  GA MSA ,75,75,9281,3,6,235,1,3,317,3,40,1615,19,19,4384,0,0,0,0,0,0,0,0,0
200103,0520,9999,,Atlanta  GA MSA ,4608,4608,523456,4,8,501,0,0,0,23,768,43256,4194,4194,486196,3,6,397,0,0,0,20,721,41897
200103,0580,9999,,Auburn-Opelika  AL MSA ,37,37,4626,1,2,110,0,0,0,4,36,1788,37,37,4626,1,2,110,0,0,0,4,36,1788
200103,0600,9999,,Augusta-Aiken  GA-SC MSA ,233,233,29855,0,0,0,0,0,0,0,0,0,202,202,26370,0,0,0,0,0,0,0,0,0
200103,0640,9999,,Austin-San Marcos  TX MSA ,685,685,83974,1,2,122,0,0,0,26,596,29981,684,684,83888,1,2,122,0,0,0,26,596,29981
200103,0680,9999,,Bakersfield  CA MSA ,231,231,28131,0,0,0,2,8,470,0,0,0,50,50,7387,0,0,0,0,0,0,0,0,0
200103,0730,9999,,Bangor  ME MSA ,8,8,814,0,0,0,0,0,0,0,0,0,3,3,348,0,0,0,0,0,0,0,0,0
200103,0740,9999,,Barnstable-Yarmouth  MA MSA ,91,91,17070,0,0,0,0,0,0,0,0,0,75,75,14046,0,0,0,0,0,0,0,0,0
200103,0760,9999,,Baton Rouge  LA MSA ,145,145,11225,0,0,0,0,0,0,3,39,2344,16,16,1693,0,0,0,0,0,0,0,0,0
200103,0840,9999,,Beaumont-Port Arthur  TX MSA ,57,57,7227,0,0,0,0,0,0,0,0,0,57,57,7227,0,0,0,0,0,0,0,0,0
200103,0860,9999,,Bellingham  WA MSA ,95,95,13376,2,4,422,1,4,322,3,39,2054,62,62,8786,0,0,0,0,0,0,0,0,0
200103,0870,9999,,Benton Harbor  MI MSA ,12,12,1913,0,0,0,0,0,0,0,0,0,12,12,1913,0,0,0,0,0,0,0,0,0
200103,0880,9999,,Billings  MT MSA ,53,53,6573,0,0,0,0,0,0,0,0,0,53,53,6573,0,0,0,0,0,0,0,0,0
200103,0920,9999,,Biloxi-Gulfport-Pascagoula  MS MSA ,180,180,19257,0,0,0,0,0,0,0,0,0,168,168,17625,0,0,0,0,0,0,0,0,0
200103,0960,9999,,Binghamton  NY MSA ,3,3,419,0,0,0,0,0,0,0,0,0,3,3,419,0,0,0,0,0,0,0,0,0
200103,1000,9999,,Birmingham  AL MSA ,368,368,51064,0,0,0,0,0,0,1,20,760,240,240,34016,0,0,0,0,0,0,1,20,760
200103,1010,9999,,Bismarck  ND MSA ,29,29,4236,2,4,544,0,0,0,0,0,0,17,17,2541,0,0,0,0,0,0,0,0,0
200103,1020,9999,,Bloomington  IN MSA ,50,50,6892,5,10,825,0,0,0,1,10,547,50,50,6892,5,10,825,0,0,0,1,10,547
200103,1040,9999,,Bloomington-Normal  IL MSA ,74,74,8881,0,0,0,0,0,0,1,31,1749,74,74,8881,0,0,0,0,0,0,1,31,1749
